id;name;molweight;critical temperature (K);acentric factor;boiling point (K)
303;1,1-dichlorobutane;127.01292;584.34;0.308;386.95
304;1,1-dichlorodecane;211.1742;704.32;0.57;520.15
305;1,1-dichlorodocosane;379.49676;846.62;0.754;689.15
306;1,1-dichlorododecane;239.22796;733.47;0.647;556.15
307;1,1-dichloroeicosane;351.443;825.11;0.785;667.15
308;1,1-dichloroethane;98.95916;523;0.234;330.45
309;1,1-dichloroethylene;96.94328;482;0.272;304.71
310;1,1-dichloroheneicosane;365.46988;835.53;0.773;678.15
311;1,1-dichloroheptadecane;309.36236;792.59;0.776;630.15
312;1,1-dichloroheptane;169.09356;654.02;0.442;460.15
313;1,1-dichlorohexadecane;295.33548;782.08;0.76;617.15
314;1,1-dichlorohexane;155.06668;633.09;0.397;437.15
315;1,1-dichlorononadecane;337.41612;814.08;0.789;655.15
316;1,1-dichlorononane;197.14732;688.79;0.528;501.15
317;1,1-dichlorooctadecane;323.38924;803.67;0.786;643.15
318;1,1-dichlorooctane;183.12044;672.06;0.485;481.15
319;1,1-dichloropentadecane;281.3086;770.83;0.738;603.15
320;1,1-dichloropentane;141.0398;610.24;0.352;412.95
321;1,1-dichloropropane;112.98604;560;0.253;361.25
322;1,1-dichloropropene;110.97016;577;0.206;349.65
323;1,1-dichlorotetradecane;267.28172;758.8;0.712;588.15
324;1,1-dichlorotricosane;393.52364;857.18;0.728;699.15
325;1,1-dichlorotridecane;253.25484;745.93;0.681;572.15
326;1,1-dichloroundecane;225.20108;720.08;0.61;539.15
327;1,1-dicyclohexylbutane;222.4142;768.14;0.512;566.12
328;1,1-dicyclohexyldecane;306.57548;812.16;0.702;640.15
329;1,1-dicyclohexyldodecane;334.62924;825.63;0.729;660.15
330;1,1-dicyclohexylethane;194.36044;762.12;0.429;544.32
331;1,1-dicyclohexylheptane;264.49484;790.2;0.623;605.15
332;1,1-dicyclohexylhexadecane;390.73676;856.76;0.704;697.15
333;1,1-dicyclohexylhexane;250.46796;783.63;0.589;593.15
334;1,1-dicyclohexylnonane;292.5486;805.09;0.68;629.15
335;1,1-dicyclohexyloctane;278.52172;797.35;0.653;617.15
336;1,1-dicyclohexylpentadecane;376.70988;848.27;0.721;688.15
337;1,1-dicyclohexylpentane;236.44108;776.31;0.551;580.15
338;1,1-dicyclohexylpropane;208.38732;766.86;0.471;556.71
339;1,1-dicyclohexyltetradecane;362.683;840.47;0.731;679.15
340;1,1-dicyclohexyltridecane;348.65612;833.34;0.734;670.15
341;1,1-dicyclohexylundecane;320.60236;818.57;0.719;650.15
342;1,1-diethylcyclohexane;140.2688;643;0.404;449.82
343;1,1-diethylcyclopentane;126.24192;624.67;0.321;423.65
344;1,1-difluoro-2,2-dimethylpropane;108.1312064;467.07;0.261;308.67
345;1,1-difluoro-2-methylbutane;108.1312064;463.41;0.321;311.46
346;1,1-difluoro-2-methylpropane;94.1043264;465.72;0.277;306.15
347;1,1-difluoro-3-methylbutane;108.1312064;463.41;0.321;311.46
348;1,1-difluorobutane;94.1043264;463.3;0.367;314.15
349;1,1-difluorodecane;178.2656064;622;0.512;456.15
350;1,1-difluorodocosane;346.5881664;766.65;0.748;624.15
351;1,1-difluorododecane;206.3193664;656.9;0.557;492.15
352;1,1-difluoroeicosane;318.5344064;754;0.687;603.15
353;1,1-difluoroethane;66.0505664;386.44;0.275;249.13
354;1,1-difluoroethylene;64.0346864;302.8;0.136;187.5
355;1,1-difluoroheneicosane;332.5612864;756.52;0.768;614.15
356;1,1-difluoroheptadecane;276.4537664;723.6;0.643;566.15
357;1,1-difluoroheptane;136.1849664;556.1;0.433;392.85
358;1,1-difluorohexadecane;262.4268864;712.1;0.633;553.15
359;1,1-difluorohexane;122.1580864;529;0.401;368.15
360;1,1-difluorononadecane;304.5075264;744.5;0.67;591.15
361;1,1-difluorononane;164.2387264;602.2;0.483;436.15
362;1,1-difluorooctadecane;290.4806464;734.4;0.662;579.15
363;1,1-difluorooctane;150.2118464;580.3;0.456;415.15
364;1,1-difluoropentadecane;248.4000064;699.8;0.619;539.15
365;1,1-difluoropentane;108.1312064;498.4;0.38;342.15
366;1,1-difluoropropane;80.0774464;430;0.276;281.15
367;1,1-difluorotetradecane;234.3731264;686.6;0.595;524.15
368;1,1-difluorotricosane;360.6150464;778.63;0.721;635.15
369;1,1-difluorotridecane;220.3462464;672.3;0.586;509.15
370;1,1-difluoroundecane;192.2924864;640.2;0.541;475.15
371;1,1-diiodo-2,2-dimethylpropane;323.94334;759.04;0.242;496.41
372;1,1-diiodo-2-methylbutane;323.94334;750.13;0.302;499.2
373;1,1-diiodo-2-methylpropane;309.91646;732.32;0.258;476.32
374;1,1-diiodo-3-methylbutane;323.94334;750.13;0.302;499.2
375;1,1-diiodobutane;309.91646;726.41;0.287;476.76
376;1,1-diiododecane;394.07774;836.2;0.55;614.04
378;1,1-diiodododecane;422.1315;874.36;0.629;659.8
380;1,1-diiodoethane;281.8627;723.89;0.199;452.15
382;1,1-diiodoheptadecane;492.2659;976.52;0.767;774.2
383;1,1-diiodoheptane;351.9971;780.77;0.421;545.4
384;1,1-diiodohexadecane;478.23902;955.15;0.748;751.32
385;1,1-diiodohexane;337.97022;762.6;0.376;522.52
387;1,1-diiodononane;380.05086;817.53;0.508;591.16
388;1,1-diiodooctadecane;506.29278;998.46;0.779;797.08
389;1,1-diiodooctane;366.02398;799.06;0.465;568.28
390;1,1-diiodopentadecane;464.21214;934.29;0.725;728.44
391;1,1-diiodopentane;323.94334;744.5;0.332;499.64
392;1,1-diiodopropane;295.88958;708.27;0.243;453.88
394;1,1-diiodotetradecane;450.18526;913.9;0.697;705.56
396;1,1-diiodotridecane;436.15838;893.94;0.664;682.68
397;1,1-diiodoundecane;408.10462;855.13;0.591;636.92
398;1,1-dimethyl-2-ethylcyclopentane;126.24192;607.98;0.296;411.15
399;1,1-dimethyl-3-ethylcyclopentane;126.24192;602.06;0.296;407.15
400;1,1-dimethylbutyl acetate;144.21384;618;0.54;426.15
401;1,1-dimethylcyclobutane;84.16128;514.04;0.218;329.15
402;1,1-dimethylcyclohexane;112.21504;591.15;0.233;392.7
403;1,1-dimethylcyclopentane;98.18816;547;0.272;361
404;1,1-dimethylcyclopropane;70.1344;464.97;0.204;293.78
405;1,1-dimethylpropyl 3-methylbutanoate;172.2676;657.2;0.474;446.65
406;1,1-dimethylpropyl butanoate;158.24072;603;0.901;460.31
407;1,1-dimethylpropyl formate;116.16008;570;0.351;385.65
408;1,1-dimethylpropyl propanoate;144.21384;589;0.749;437.43
409;1,1-dimethylpropylamine;87.16496;526;0.32;350.15
410;1,1-diphenyl-1-butene;208.30304;790.85;0.509;567.85
411;1,1-diphenyl-1-decene;292.46432;843.78;0.733;655.15
412;1,1-diphenyl-1-dodecene;320.51808;856.93;0.78;677.15
413;1,1-diphenyl-1-heptene;250.38368;817.04;0.632;613.15
414;1,1-diphenyl-1-hexadecene;376.6256;881.36;0.8;713.15
415;1,1-diphenyl-1-hexene;236.3568;803.6;0.593;594.95
416;1,1-diphenyl-1-nonene;278.43744;835.6;0.703;642.15
